seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr17	28328738	28329203	466	*	X073	19896	28328471	28331033	2563	+	0	inside	266	Rpl10a
chr17	29032582	29032861	280	*	X074	20383	29032628	29043373	10746	+	0	overlapStart	0	Srsf3
chr17	29032393	29032542	150	*	X075	20383	29032628	29043373	10746	+	85	upstream	85	Srsf3
chr17	35865762	35866066	305	*	X076	76448	35865593	35875596	10004	+	0	inside	168	Ppp1r18
chr17	71001920	71002540	621	*	X079	17929	71002633	71126856	124224	+	92	upstream	92	Myom1
chr17	71001920	71002540	621	*	X079	67938	70973133	71002205	29073	-	0	overlapStart	0	Myl12b
chr17	84187509	84188052	544	*	X080	12193	84183931	84187947	4017	-	0	overlapStart	0	Zfp36l2
chr17	87446825	87447116	292	*	X081	12314	87433412	87446935	13524	-	0	overlapStart	0	Calm2
chr18	62548617	62548830	214	*	X086	107035	62504155	62548695	44541	-	0	overlapStart	0	Fbxo38
chr18	62548617	62548830	214	*	X086	328971	62548911	62668070	119160	+	80	upstream	80	Spink10
chr18	77713956	77714341	386	*	X087	212163	77631497	77714486	82990	-	0	inside	144	8030462N17Rik
chr19	4192125	4192233	109	*	X089	108995	4168742	4191284	22543	-	840	upstream	840	Tbc1d10c
chr19	4192125	4192233	109	*	X089	19045	4192065	4195420	3356	+	0	inside	59	Ppp1ca
chr19	5366297	5366558	262	*	X090	69860	5366741	5371526	4786	+	182	upstream	182	Eif1ad
chr19	5488055	5488432	378	*	X091	71711	5482345	5488402	6058	-	0	overlapStart	0	Mus81
chr19	5490408	5491363	956	*	X092	12631	5490455	5495201	4747	+	0	overlapStart	0	Cfl1
chr19	6046793	6047119	327	*	X093	74126	6046576	6053712	7137	+	0	inside	216	Syvn1
chr19	10525194	10525538	345	*	X096	269061	10525266	10547653	22388	+	0	overlapStart	0	Cpsf7
chr19	12795853	12796141	289	*	X097	107321	12796193	12833807	37615	+	51	upstream	51	Lpxn
chr19	12795853	12796141	289	*	X097	109910	12767020	12796126	29107	-	0	overlapStart	0	Zfp91
chr19	12795853	12796141	289	*	X097	664779	12763660	12796126	32467	-	0	overlapStart	0	Gm44505
chr19	21271840	21272124	285	*	X098	22682	21272278	21286840	14563	+	153	upstream	153	Zfand5
chr19	21272254	21272271	18	*	X099	22682	21272278	21286840	14563	+	6	upstream	6	Zfand5
chr19	38055021	38055401	381	*	X101	74107	38055011	38074423	19413	+	0	inside	9	Cep55
chr19	53529111	53529429	319	*	X102	240672	53529109	53542431	13323	+	0	inside	1	Dusp5
chr2	13574091	13574857	767	*	X103	22352	13573952	13582826	8875	+	0	inside	138	Vim
chr2	118111759	118112083	325	*	X108	21825	118111876	118127133	15258	+	0	overlapStart	0	Thbs1
chr2	118111759	118112083	325	*	X108	329496	117857291	118111202	253912	-	556	upstream	556	Gm13986
chr3	69127061	69127139	79	*	X110	16649	69067149	69127113	59965	-	0	overlapStart	0	Kpna4
chr3	69127225	69127432	208	*	X111	16649	69067149	69127113	59965	-	111	upstream	111	Kpna4
chr3	138143455	138143766	312	*	X114	108943	138143448	138159821	16374	+	0	inside	6	Trmt10a
chr3	138143455	138143766	312	*	X114	17777	138089854	138143388	53535	-	66	upstream	66	Mttp
chr3	145649256	145649952	697	*	X115	16007	145646976	145649981	3006	-	0	inside	28	Ccn1
chr3	152210022	152210315	294	*	X116	51886	152210422	152236826	26405	+	106	upstream	106	Fubp1
chr3	152210022	152210315	294	*	X116	67035	152178511	152210279	31769	-	0	overlapStart	0	Dnajb4
chr3	152210443	152210653	211	*	X117	51886	152210422	152236826	26405	+	0	inside	20	Fubp1
chr3	152210443	152210653	211	*	X117	67035	152178511	152210279	31769	-	163	upstream	163	Dnajb4
chr4	88722357	88722536	180	*	X121	242521	88718292	88722465	4174	-	0	overlapStart	0	Klhl9
chr4	89137402	89137692	291	*	X122	66902	89137122	89181081	43960	+	0	inside	279	Mtap
chr4	126429573	126429866	294	*	X124	214150	126331704	126429556	97853	-	16	upstream	16	Ago3
chr4	136143753	136144053	301	*	X125	15903	136143497	136145392	1896	+	0	inside	255	Id3
chr4	136311047	136311459	413	*	X126	74326	136310942	136359447	48506	+	0	inside	104	Hnrnpr
chr4	156236503	156236821	319	*	X127	231003	156229044	156234857	5814	-	1645	upstream	1645	Klhl17
chr5	23432930	23433364	435	*	X128	69188	23434441	23504235	69795	+	1076	upstream	1076	Kmt2e
chr5	23433410	23433432	23	*	X129	69188	23434441	23504235	69795	+	1008	upstream	1008	Kmt2e
chr5	32135132	32136453	1322	*	X130	14284	32135801	32157842	22042	+	0	overlapStart	0	Fosl2
chr5	90366265	90366763	499	*	X135	791294	90366620	90368488	1869	+	0	overlapStart	0	Gm9958
chr5	90366265	90366763	499	*	X135	81702	90227166	90366577	139412	-	0	overlapStart	0	Ankrd17
chr5	114773026	114773359	334	*	X137	68420	114774677	114806200	31524	+	1317	upstream	1317	Ankrd13a
chr5	115559441	115559753	313	*	X138	11837	115559467	115563727	4261	+	0	overlapStart	0	Rplp0
chr5	124425774	124426012	239	*	X139	243272	124368702	124426001	57300	-	0	overlapStart	0	Sbno1
chr5	124426118	124426223	106	*	X140	243272	124368702	124426001	57300	-	116	upstream	116	Sbno1
chr5	142905537	142906608	1072	*	X142	11461	142903115	142906754	3640	-	0	inside	145	Actb
chr5	151368660	151368912	253	*	X143	625175	151368675	151414083	45409	+	0	overlapStart	0	1700028E10Rik
chr7	64287429	64287706	278	*	X150	233315	64287653	64340806	53154	+	0	overlapStart	0	Mtmr10
chr8	41374527	41374748	222	*	X155	11886	41340197	41374773	34577	-	0	inside	24	Asah1
chr8	41374845	41374883	39	*	X156	11886	41340197	41374773	34577	-	71	upstream	71	Asah1
chr9	25252154	25252445	292	*	X160	235072	25252439	25308571	56133	+	0	overlapStart	0	Septin7
chr9	40801122	40801599	478	*	X162	108637	40803583	40803668	86	+	1983	upstream	1983	Snord14c
chr9	40801122	40801599	478	*	X162	15481	40800984	40810087	9104	+	0	inside	137	Hspa8
chr9	44334676	44335013	338	*	X163	15270	44334694	44336077	1384	+	0	overlapStart	0	H2ax
chr9	65032417	65032708	292	*	X165	74388	65032414	65082651	50238	+	0	inside	2	Dpp8
chr9	75409380	75409646	267	*	X168	71274	75410184	75417709	7526	+	537	upstream	537	4933433G15Rik
chrX	8145468	8145850	383	*	X174	19652	8138975	8145880	6906	-	0	inside	29	Rbm3
chrX	8145468	8145850	383	*	X174	70226	8145429	8147964	2536	+	0	inside	38	Rbm3os
